"geography_code","supergroup_code","group_code","supergroup_name","group_name"
"E01012349",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01012350",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01012352",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01012326",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01012332",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01012311",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01012312",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01012313",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01012314",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01012362",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01012363",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01012353",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01012354",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01012355",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01033483",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01033484",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01012307",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01012327",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01012342",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01012304",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01012305",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01012340",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01012341",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01012318",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01012357",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01012359",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01020606",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020615",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020616",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020596",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020592",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020593",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01020599",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01020602",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020618",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020621",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020636",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020661",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01020662",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020674",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020626",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020639",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020653",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020647",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020648",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020649",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020673",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020675",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020624",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020670",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020671",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020672",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020641",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020643",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01020667",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020652",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020668",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020631",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020645",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020658",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020711",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020720",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01020679",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020716",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020727",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020730",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020693",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020722",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020723",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01020724",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01020705",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020715",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020686",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020689",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020694",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020699",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020787",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01033202",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020741",1,1.3,"1 Struggling, More Vulnerable Urbanites","1.3 Terraced Mix, Relative Stability"
"E01020742",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020783",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020784",1,1.1,"1 Struggling, More Vulnerable Urbanites","1.1 Disadvantaged Single Households"
"E01020743",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020747",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020748",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020749",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020773",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020775",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01033198",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01033206",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020751",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020752",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020745",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020753",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020757",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020758",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020759",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020765",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020761",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020762",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020764",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020766",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020767",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020733",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020734",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
"E01020735",1,1.2,"1 Struggling, More Vulnerable Urbanites","1.2 Struggling White British"
